arm	run_dir	exit_code	audit_verdict	task_count	market_tx_count
C	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8_R4CDZ/arm_C	0	PROCEED	3	12
D	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8_R4CDZ/arm_D	0	PROCEED	3	10
