arm	run_dir	exit_code	audit_verdict	task_count	market_tx_count
A	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8Z/arm_A	0	PROCEED	3	0
B	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8Z/arm_B	0	PROCEED	3	2
C	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8Z/arm_C	1	PROCEED	1	6
D	/home/zephryj/projects/turingosv4/handover/evidence/real8_market_ab_20260515T_REAL8Z/arm_D	1	PROCEED	1	6
